class,collection,date,point_id
Formação Florestal,mapbiomas5_amazonia,2000,1
Formação Florestal,mapbiomas5_amazonia,2001,1
Formação Florestal,mapbiomas5_amazonia,2002,1
Formação Florestal,mapbiomas5_amazonia,2003,1
Formação Florestal,mapbiomas5_amazonia,2004,1
Formação Florestal,mapbiomas5_amazonia,2005,1
Formação Florestal,mapbiomas5_amazonia,2006,1
Formação Florestal,mapbiomas5_amazonia,2007,1
Formação Florestal,mapbiomas5_amazonia,2008,1
Formação Florestal,mapbiomas5_amazonia,2009,1
Formação Florestal,mapbiomas5_amazonia,2010,1
Formação Florestal,mapbiomas5_amazonia,2011,1
Formação Florestal,mapbiomas5_amazonia,2012,1
Formação Florestal,mapbiomas5_amazonia,2013,1
Formação Florestal,mapbiomas5_amazonia,2014,1
Formação Florestal,mapbiomas5_amazonia,2015,1
Formação Florestal,mapbiomas5_amazonia,2016,1
Formação Florestal,mapbiomas5_amazonia,2017,1
Formação Florestal,mapbiomas5_amazonia,2018,1
Formação Florestal,mapbiomas5_amazonia,2019,1
